Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,2054.59,Active,3713.24,14664.16,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,840.46,Active,3608.83,8399.48,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,1509.06,Active,3683.86,12901.12,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,1223.47,Active,3766.73,17873.45,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,1777.44,Active,4046.12,34636.71,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,384.27,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 769 vol,N/A
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1143.46,Active,3695.81,13618.2,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,913.02,Active,3515.83,2819.73,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,612.85,Active,3495.95,1626.63,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,1585.54,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 3171 vol,N/A
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,1573.33,Active,3575.3,6387.83,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,384.27,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 769 vol,N/A
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,Two-Way,384.27,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 769 vol,N/A
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,Two-Way,699.37,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1399 vol,N/A
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,Two-Way,251.84,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 252 vol,N/A
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,125.92,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 252 vol,N/A
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,218.04,Active,3503.45,2076.89,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,3495.95,1626.63,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1352.5,Active,3757.03,17291.54,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,450.93,Active,3524.97,3367.83,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,1849.74,Active,3535.54,4001.99,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,2159.05,Active,3511.22,2542.82,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,1603.1,Active,3508.19,2361.09,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,2008.39,Active,3622.67,9230.03,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,773.44,Active,3505.95,2226.55,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,2157.93,Active,3596.85,7680.53,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,298.23,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 596 vol,N/A
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,2096.5,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 417 vol,N/A
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,1551.34,Active,3570.31,6088.48,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,2096.5,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 417 vol,N/A
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,2270.8,Active,3545.31,4588.2,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,1435.6,Active,3559.41,5434.44,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,128.33,Active,3511.53,2561.53,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,149.12,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 298 vol,N/A
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,877.97,Active,3647.24,10704.2,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,149.12,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 298 vol,N/A
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,646.49,Active,3584.9,6963.7,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,283.07,Active,3516.72,2872.6,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,238.33,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 477 vol,N/A
