Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,439.17,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 878 vol,N/A
Yulo Dr,villa - 1,villa - 4,Two-Way,0.64,Inactive,3495.98,1628.73,No
Jocson St,villa - 1,villa - 2,Two-Way,659.4,Active,3500.53,1901.73,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,1506.76,Active,3551.39,4953.34,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,218.94,Active,3499.31,1828.17,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,1944.0,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 3888 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,219.59,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 439 vol,N/A
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,219.59,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 439 vol,N/A
Locsin St,Molo - 3,Molo - 4,Two-Way,2660.5,Active,3929.57,27643.77,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,1832.18,Active,3668.7,11991.56,No
Locsin St,Molo - 4,Molo - 5,Two-Way,1441.46,Active,3552.2,5001.46,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,1331.06,Active,3520.95,3126.47,No
Locsin St,Molo - 5,Molo - 6,Two-Way,1293.2,Active,3521.3,3147.86,No
Timawa St,Molo - 5,Proper - 2,Two-Way,132.01,Active,3496.16,1639.47,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,1453.0,Active,3526.87,3482.08,No
Rotunda,Molo - 7,Molo - 8,One-Way,1842.45,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 289 vol,N/A
San Marcos St,Molo - 8,Molo - 3,One-Way,1449.77,Active,3504.68,2150.63,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,392.68,Active,3508.8,2397.46,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,1660.87,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 145 vol,N/A
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,1421.94,Active,3523.33,3269.47,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,238.93,Active,3500.69,1911.33,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,1603.52,Active,3533.9,3903.44,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,1147.09,Active,3524.27,3325.87,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,1056.65,Active,3534.23,3923.26,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,1317.6,Active,3662.04,11592.2,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,436.31,Active,3522.06,3193.06,No
Delgado St,Proper - 2,Proper - 10,Two-Way,764.96,Active,3502.73,2033.37,No
Infante St 3,Proper - 3,Proper - 4,One-Way,563.58,Active,3514.34,2729.76,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,1702.96,Active,3540.22,4282.82,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,1235.91,Active,3530.23,3683.65,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,1781.83,Active,3575.13,6377.34,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,833.53,Active,3542.84,4440.07,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,1124.45,Active,3503.07,2053.86,No
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,1841.59,Active,3549.88,4862.42,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,2609.95,Active,3540.14,4278.12,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,1359.44,Active,3521.33,3149.3,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,1401.92,Active,3526.36,3451.28,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1350.99,Active,3512.92,2645.01,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,919.01,Active,3599.21,7822.38,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,2197.65,Active,3561.86,5581.45,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,774.91,Active,3513.05,2652.36,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,2355.43,Active,3663.29,11667.02,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,2007.76,Active,3639.3,10227.89,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,1556.6,Active,3623.15,9258.52,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,1071.24,Active,3556.44,5255.87,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,2216.2,Active,3813.33,20669.37,No
Duran St,Proper - 15,Proper - 16,Two-Way,661.9,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1324 vol,N/A
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,892.4,Active,3550.96,4927.4,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,661.9,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1324 vol,N/A
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,1473.0,Active,3558.26,5365.44,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,1093.3,Active,3509.75,2454.79,No
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,3495.95,1626.63,No
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,431.4,Active,3503.05,2052.56,No
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,170.22,Active,3505.57,2203.71,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,808.62,Active,3785.62,19006.62,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,319.44,Active,3524.27,3325.69,No
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,1062.04,Active,3626.5,9459.89,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,1759.37,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1409 vol,N/A
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,1327.52,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 2655 vol,N/A
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,1759.37,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1409 vol,N/A
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,331.88,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 664 vol,N/A
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,1985.12,Active,4012.78,32636.48,No
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,607.49,Active,3539.69,4251.0,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,785.27,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1571 vol,N/A
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,331.88,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 664 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,331.88,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 664 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,331.88,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 664 vol,N/A
E Lopez St,jaro - 1,jaro - 4,Two-Way,658.91,Active,3513.15,2658.79,No
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,500.26,Active,3513.89,2703.27,No
Commission Civil St,jaro - 2,jaro - 5,Two-Way,371.52,Active,3516.62,2866.57,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,514.83,Active,3511.67,2569.64,No
Jereos St,jaro - 3,jaro - 25,Two-Way,125.92,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 252 vol,N/A
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,271.52,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 543 vol,N/A
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,1910.65,Active,3590.43,7295.75,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,1736.34,Active,3625.86,9421.04,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,1449.01,Active,3674.45,12336.48,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,1821.21,Active,3623.92,9304.81,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,1780.44,Active,3609.39,8433.31,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,1533.88,Active,3604.3,8127.61,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,184.24,Active,3503.2,2061.77,No
