Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,596.69,Active,2710.63,2977.43,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,4336.6,Active,2772.22,6672.97,No
Duran St,Proper - 15,Proper - 16,Two-Way,0.0,Inactive,2661.85,50.88,No
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,0.0,Inactive,2661.85,50.88,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,0.0,Inactive,2661.85,50.88,No
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,0.0,Inactive,2661.85,50.88,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,0.0,Inactive,2661.85,50.88,No
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,2661.85,50.88,No
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,0.0,Inactive,2661.85,50.88,No
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,0.0,Inactive,2661.85,50.88,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,966.8,Active,2699.33,2299.45,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,0.0,Inactive,2661.85,50.88,No
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,1118.3,Active,2745.19,5051.03,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,463.3,Active,2663.5,149.53,No
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,463.3,Active,2662.22,72.76,No
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,1659.4,Active,2704.34,2600.14,No
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,526.2,Active,2669.05,482.65,No
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,475.5,Active,2675.28,856.38,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,0.0,Inactive,2661.85,50.88,No
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
E Lopez St,jaro - 1,jaro - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,0.0,Inactive,2661.85,50.88,No
Commission Civil St,jaro - 2,jaro - 5,Two-Way,0.0,Inactive,2661.85,50.88,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,0.0,Inactive,2661.85,50.88,No
Jereos St,jaro - 3,jaro - 25,Two-Way,1738.69,Active,2710.28,2956.59,No
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,0.0,Inactive,2661.85,50.88,No
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,141.4,Active,2662.77,106.03,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,141.4,Active,2662.77,106.03,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,838.5,Active,2755.55,5672.57,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,187.51,Active,2662.93,115.3,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,141.4,Active,2662.77,106.03,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,187.51,Active,2662.93,115.3,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,2283.2,Active,2699.42,2305.01,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,26.8,Active,2663.1,125.83,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,884.61,Active,2756.46,5727.25,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,26.8,Active,2663.1,125.83,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,1152.8,Active,2676.11,906.1,No
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1618.89,Active,2929.32,16098.72,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,0.0,Inactive,2661.85,50.88,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,0.0,Inactive,2661.85,50.88,No
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,Two-Way,0.0,Inactive,2661.85,50.88,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,Two-Way,0.0,Inactive,2661.85,50.88,No
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,0.0,Inactive,2661.85,50.88,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,0.0,Inactive,2661.85,50.88,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,2661.85,50.88,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1951.49,Active,3036.27,22516.02,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,0.0,Inactive,2661.85,50.88,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,0.0,Inactive,2661.85,50.88,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,0.0,Inactive,2661.85,50.88,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,0.0,Inactive,2661.85,50.88,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,0.0,Inactive,2661.85,50.88,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,0.0,Inactive,2661.85,50.88,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,0.0,Inactive,2661.85,50.88,No
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,0.0,Inactive,2661.85,50.88,No
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,0.0,Inactive,2661.85,50.88,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,0.0,Inactive,2661.85,50.88,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,0.0,Inactive,2661.85,50.88,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,0.0,Inactive,2661.85,50.88,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,189.2,Active,2665.22,253.18,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,0.0,Inactive,2661.85,50.88,No
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,525.8,Active,2666.74,344.38,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,0.0,Inactive,2661.85,50.88,No
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,525.8,Active,2666.74,344.38,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,0.0,Inactive,2661.85,50.88,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,0.0,Inactive,2661.85,50.88,No
