Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,2661.85,50.88,No
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,2661.85,50.88,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,2666.57,333.77,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,Active,3189.59,31715.43,No
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,2661.85,50.88,No
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,2661.85,50.88,No
Locsin St,Molo - 3,Molo - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,545.9,Active,2677.82,1008.92,No
Locsin St,Molo - 4,Molo - 5,Two-Way,0.0,Inactive,2661.85,50.88,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,0.0,Inactive,2661.85,50.88,No
Locsin St,Molo - 5,Molo - 6,Two-Way,0.0,Inactive,2661.85,50.88,No
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,2661.85,50.88,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,0.0,Inactive,2661.85,50.88,No
Rotunda,Molo - 7,Molo - 8,One-Way,0.0,Inactive,2661.85,50.88,No
San Marcos St,Molo - 8,Molo - 3,One-Way,0.0,Inactive,2661.85,50.88,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,2661.85,50.88,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,0.0,Inactive,2661.85,50.88,No
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,0.0,Inactive,2661.85,50.88,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,2661.85,50.88,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,0.0,Inactive,2661.85,50.88,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,1205.1,Active,2668.87,472.13,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,0.0,Inactive,2661.85,50.88,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,1818.4,Active,2782.78,7306.76,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,1205.1,Active,2668.87,472.13,No
Delgado St,Proper - 2,Proper - 10,Two-Way,0.0,Inactive,2661.85,50.88,No
Infante St 3,Proper - 3,Proper - 4,One-Way,1205.1,Active,2662.64,97.94,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,3078.3,Active,2732.75,4304.63,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,3078.3,Active,2737.56,4593.55,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,0.0,Inactive,2661.85,50.88,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,0.0,Inactive,2661.85,50.88,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,0.0,Inactive,2661.85,50.88,No
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,0.0,Inactive,2661.85,50.88,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,0.0,Inactive,2661.85,50.88,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,0.0,Inactive,2661.85,50.88,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,0.0,Inactive,2661.85,50.88,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,361.92,Active,2665.04,241.94,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,3555.1,Active,2744.04,4982.3,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,0.0,Inactive,2661.85,50.88,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,0.0,Inactive,2661.85,50.88,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,0.0,Inactive,2661.85,50.88,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,361.92,Active,2665.04,241.94,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,0.0,Inactive,2661.85,50.88,No
