From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,439.17,2800,0.157
villa - 1,villa - 4,Yulo Dr,0.64,2800,0.0
villa - 1,villa - 2,Jocson St,659.4,2800,0.236
villa - 2,villa - 1,Jocson St (Rev),659.4,2800,0.236
villa - 2,villa - 3,Circumferential Rd 1,1506.76,2800,0.538
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2800,0.226
villa - 3,villa - 4,Quezon St,218.94,2800,0.078
villa - 3,villa - 2,Circumferential Rd 1 (Rev),1506.76,2800,0.538
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),1944.0,2800,0.694
villa - 4,villa - 1,Yulo Dr (Rev),0.64,2800,0.0
villa - 4,villa - 3,Quezon St (Rev),218.94,2800,0.078
villa - 5,Molo - 6,Molo Blvd (Rev),219.59,2800,0.078
villa - 6,villa - 1,Osmena St (Rev),439.17,2800,0.157
villa - 6,villa - 7,Pakiad Rd (Rev),219.59,1400,0.157
villa - 7,villa - 6,Pakiad Rd,219.59,1400,0.157
Molo - 3,villa - 3,Molo - Arevalo Connect,1944.0,2800,0.694
Molo - 3,Molo - 4,Locsin St,2660.5,2800,0.95
Molo - 3,mandurriao - 6,New Carpenter Bridge,1832.18,1400,1.309
Molo - 4,Molo - 3,Locsin St (Rev),1436.47,2800,0.513
Molo - 4,Molo - 5,Locsin St,1441.46,2800,0.515
Molo - 4,Molo - 9,M.H Del Pilar,1331.06,2800,0.475
Molo - 5,Molo - 4,Locsin St (Rev),1485.63,2800,0.531
Molo - 5,Molo - 6,Locsin St,1293.2,2800,0.462
Molo - 5,Proper - 2,Timawa St,132.01,2800,0.047
Molo - 6,Molo - 5,Locsin St (Rev),153.82,2800,0.055
Molo - 6,villa - 5,Molo Blvd,219.59,2800,0.078
Molo - 6,Proper - 4,Molo Blvd 2,1453.0,2800,0.519
Molo - 7,Molo - 8,Rotunda,1842.45,2800,0.658
Molo - 8,Molo - 3,San Marcos St,1449.77,5600,0.259
Molo - 8,Molo - 9,M.H Del Pilar,392.68,1400,0.28
Molo - 9,Molo - 4,M.H Del Pilar (Rev),62.87,2800,0.022
Molo - 9,Molo - 10,M.H Del Pilar,1660.87,5600,0.297
Molo - 10,Proper - 1,Molo - Proper Connect,1421.94,2800,0.508
Molo - 10,Molo - 7,M.H Del Pilar,238.93,1400,0.171
Proper - 1,Molo - 7,Gen Luna - Molo Connect,1603.52,5600,0.286
Proper - 1,Proper - 2,Infante St 1,1147.09,2800,0.41
Proper - 1,Proper - 7,Gen Luna St 1,1056.65,2800,0.377
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),1317.6,2800,0.471
Proper - 2,Molo - 5,Timawa St (Rev),1315.56,2800,0.47
Proper - 2,Proper - 1,Infante St 1 (Rev),992.58,2800,0.354
Proper - 2,Proper - 3,Infante St 2,436.31,2800,0.156
Proper - 2,Proper - 10,Delgado St,764.96,2800,0.273
Proper - 3,Proper - 2,Infante St 2 (Rev),1108.64,2800,0.396
Proper - 3,Proper - 4,Infante St 3,563.58,2800,0.201
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),313.62,2800,0.112
Proper - 4,Proper - 5,Baluarte - Oton Blvd,1702.96,2800,0.608
Proper - 5,Proper - 3,Rizal St 1,1235.91,2800,0.441
Proper - 5,Proper - 6,Rizal St 2,1781.83,2800,0.636
Proper - 6,Proper - 5,Rizal St 2 (Rev),1314.78,2800,0.47
Proper - 6,Proper - 14,Rizal St 3,833.53,2800,0.298
Proper - 6,Proper - 11,Ledesma St,1124.45,2800,0.402
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),1151.03,2800,0.411
Proper - 7,Proper - 8,Gen Luna St 2,1841.59,2800,0.658
Proper - 7,lapaz - 10,Bonifacio Drive,2609.95,2800,0.932
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),2622.15,2800,0.936
Proper - 8,Proper - 9,Gen Luna St 3,1359.44,16800,0.081
Proper - 8,Proper - 10,Ruperto Montinola St 1,1401.92,2800,0.501
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),2027.44,16800,0.121
Proper - 9,Proper - 12,Muelle Loney St 1,1350.99,2800,0.482
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,919.01,2800,0.328
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),1514.47,2800,0.541
Proper - 10,Proper - 11,Ruperto Montinola St 2,2197.65,2800,0.785
Proper - 10,Proper - 2,Delgado St (Rev),1121.67,2800,0.401
Proper - 11,Proper - 6,Ledesma St (Rev),473.25,2800,0.169
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),2666.91,2800,0.952
Proper - 11,Proper - 12,Arroyo St (Rev),774.91,1400,0.554
Proper - 11,Proper - 13,JM Basa St 1,2355.43,2800,0.841
Proper - 12,Proper - 11,Arroyo St,792.68,1400,0.566
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1348.77,2800,0.482
Proper - 12,Proper - 18,Muelle Loney St 2,2007.76,2800,0.717
Proper - 13,Proper - 11,JM Basa St 1 (Rev),2155.73,2800,0.77
Proper - 13,Proper - 14,JM Basa St 2,1556.6,2800,0.556
Proper - 13,Proper - 17,Dela Rama St 1,1071.24,1400,0.765
Proper - 14,Proper - 6,Rizal St 3 (Rev),1017.67,2800,0.363
Proper - 14,Proper - 13,JM Basa St 2 (Rev),1312.17,2800,0.469
Proper - 14,Proper - 15,General Hughes St 1,2216.2,2800,0.792
Proper - 15,Proper - 14,General Hughes St 1 (Rev),2155.92,2800,0.77
Proper - 15,Proper - 16,Duran St,661.9,1400,0.473
Proper - 15,Proper - 22,General Hughes St 2,892.4,2800,0.319
Proper - 16,Proper - 15,Duran St (Rev),661.9,1400,0.473
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1115.97,1400,0.797
