A,B,distance,lanes,oneway,name,speed
Proper - 14,Proper - 15,350,2,False,General Hughes St 1,40
Proper - 15,Proper - 16,550,1,False,Duran St,40
Proper - 15,Proper - 22,350,2,False,General Hughes St 2,40
Proper - 13,Proper - 17,650,1,False,Dela Rama St 1,40
Proper - 17,Proper - 20,170,1,False,Dela Rama St 2,40
Proper - 17,Proper - 18,160,1,False,Blumentritt 1,40
Proper - 17,Proper - 19,220,1,False,Blumentritt 2,40
Proper - 9,Proper - 12,550,2,False,Muelle Loney St 1,40
Proper - 12,Proper - 18,900,2,False,Muelle Loney St 2,40
Proper - 18,Proper - 19,800,2,False,Muelle Loney St 3,40
Proper - 19,Proper - 21,550,2,False,Muelle Loney St 4,40
Proper - 21,Proper - 22,700,2,False,Fort San Pedro Dr,40
Proper - 7,lapaz - 10,500,2,False,Bonifacio Drive,40
Proper - 9,lapuz - 2,200,2,False,Quirino - Lopez Bridge,40
mandurriao - 3,mandurriao - 12,3100,2,False,Mandurriao - Sn Miguel Rd,60
mandurriao - 4,mandurriao - 5,1600,2,False,Pakiad Rd,40
mandurriao - 1,Proper - 1,1100,2,False,Old Iloilo - Capiz Rd,60
mandurriao - 1,mandurriao - 2,1100,2,False,Mandurriao - Jaro Rd,40
mandurriao - 2,mandurriao - 3,290,2,True,Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,40
mandurriao - 3,mandurriao - 4,350,4,True,Mandurriao - Sn Miguel Rd - R Mapa St,40
mandurriao - 4,mandurriao - 2,170,2,True,R Mapa St - Mandurriao - Jaro Rd,40
mandurriao - 9,mandurriao - 12,65,2,False,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,60
mandurriao - 10,mandurriao - 12,450,2,False,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),70
mandurriao - 11,mandurriao - 12,400,2,False,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),70
mandurriao - 4,mandurriao - 6,1600,2,False,R Mapa St,40
mandurriao - 6,mandurriao - 7,200,1,False,R Mapa St - Extension,40
jaro - 11,jaro - 20,3200,2,False,Monfort Blvd - Leganes,70
jaro - 19,jaro - 11,1300,2,False,Lapaz - Monfort Blvd,70
jaro - 15,jaro - 22,3500,2,False,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,70
jaro - 15,jaro - 13,1100,2,False,Iloilo Radial By-Pass Rd 4 - Buhang Flyover,70
jaro - 13,jaro - 14,190,1,False,Buhang Flyover - Iloilo-Capiz Rd,40
jaro - 14,jaro - 12,220,1,False,Iloilo-Capiz Rd - Buhang Flyover,40
jaro - 12,jaro - 10,1600,2,False,Buhang Flyover - Balabago Rd,70
jaro - 10,jaro - 11,35,1,False,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,70
jaro - 17,mandurriao - 1,3100,4,False,Old Iloilo-Capiz Rd - Old Lopez Jaena St,60
jaro - 17,jaro - 16,210,4,False,Old Iloilo-Capiz Rd - Old Lopez Jaena St,60
jaro - 16,jaro - 24,550,4,False,Old Iloilo-Capiz Rd - Pavia,70
jaro - 14,jaro - 21,3300,2,False,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,60
jaro - 15,jaro - 23,3500,2,False,Iloilo Radial By-Pass Rd 4,70
jaro - 14,jaro - 9,2600,2,False,Iloilo Capiz Rd - Balabago Rd,40
jaro - 12,jaro - 13,450,1,False,Buhang Flyover,40
jaro - 9,jaro - 10,2900,2,False,Balabago Rd,40
jaro - 3,jaro - 25,210,1,False,Jereos St,40
