A,B,distance,lanes,oneway,name
mandurriao - 3,mandurriao - 4,350,4,True,Mandurriao - Sn Miguel Rd - R Mapa St
mandurriao - 4,mandurriao - 2,170,2,True,R Mapa St - Mandurriao - Jaro Rd
mandurriao - 9,mandurriao - 12,65,2,False,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1
mandurriao - 10,mandurriao - 12,450,2,False,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1)
mandurriao - 11,mandurriao - 12,400,2,False,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2)
mandurriao - 4,mandurriao - 6,1600,2,False,R Mapa St
mandurriao - 6,mandurriao - 7,200,1,False,R Mapa St - Extension
jaro - 11,jaro - 20,3200,2,False,Monfort Blvd - Leganes
jaro - 19,jaro - 11,1300,2,False,Lapaz - Monfort Blvd
jaro - 15,jaro - 22,3500,2,False,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4
jaro - 15,jaro - 13,1100,2,False,Iloilo Radial By-Pass Rd 4 - Buhang Flyover
jaro - 13,jaro - 14,190,1,False,Buhang Flyover - Iloilo-Capiz Rd
jaro - 14,jaro - 12,220,1,False,Iloilo-Capiz Rd - Buhang Flyover
jaro - 12,jaro - 10,1600,2,False,Buhang Flyover - Balabago Rd
jaro - 10,jaro - 11,35,1,False,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd
jaro - 17,mandurriao - 1,3100,4,False,Old Iloilo-Capiz Rd - Old Lopez Jaena St
jaro - 17,jaro - 16,210,4,False,Old Iloilo-Capiz Rd - Old Lopez Jaena St
jaro - 16,jaro - 24,550,4,False,Old Iloilo-Capiz Rd - Pavia
jaro - 14,jaro - 21,3300,2,False,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1
jaro - 15,jaro - 23,3500,2,False,Iloilo Radial By-Pass Rd 4
jaro - 14,jaro - 9,2600,2,False,Iloilo Capiz Rd - Balabago Rd
jaro - 12,jaro - 13,450,1,False,Buhang Flyover
jaro - 9,jaro - 10,2900,2,False,Balabago Rd
jaro - 3,jaro - 25,210,1,False,Jereos St
jaro - 2,jaro - 5,1000,1,False,Commission Civil St
jaro - 1,jaro - 4,1000,2,False,E Lopez St
jaro - 6,jaro - 9,550,1,True,Plaza Rizal St - Balabago Rd
jaro - 9,jaro - 8,500,2,True,Iloilo-Capiz Rd - Lopez Jaena St
jaro - 8,jaro - 6,260,3,True,Lopez Jaena St - Plaza Rizal St
jaro - 8,jaro - 18,2300,1,False,Lopez Jaena St - Old Lopez Jaena St
jaro - 18,jaro - 17,100,2,False,Old Lopez Jaena St - Old Iloilo-Capiz Rd
jaro - 18,jaro - 16,270,2,True,Old Lopez Jaena St - Old Iloilo-Capiz Rd
jaro - 7,jaro - 4,190,4,True,El 98 St - Plaza Rizal St - E Lopez St
jaro - 4,jaro - 5,120,4,True,E Lopez St - Plaza Rizal St - Commission Civil St
jaro - 5,jaro - 6,230,4,True,Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd
jaro - 6,jaro - 7,160,5,True,Iloilo-Capiz Rd - Plaza Rizal St - El 98 St
jaro - 7,mandurriao - 1,700,2,False,El 98 St
lapaz - 3,jaro - 1,800,2,False,Luna St
lapaz - 3,lapaz - 1,170,2,False,Luna St - Huervana St
lapaz - 1,lapaz - 10,160,2,False,Luna St - Esplanade 5
lapaz - 2,lapaz - 3,160,4,True,Rizal St - Luna St
lapaz - 1,lapaz - 2,110,4,True,Huervana St - Rizal St
lapaz - 2,lapaz - 4,350,2,False,Huervana St - Burgos St
lapaz - 4,lapaz - 5,210,4,True,Huervana St - Jereos St
lapaz - 5,lapaz - 6,200,4,True,Jereos St - Huervana Ext
lapaz - 6,lapaz - 7,210,3,True,Huervana Ext
lapaz - 7,lapaz - 4,180,4,True,Burgos St - Huervana St
lapaz - 5,lapaz - 8,500,2,False,Lopez Jaena St
lapaz - 8,lapaz - 9,650,2,False,Baldoza St
lapaz - 9,lapuz - 7,1200,2,False,Coastal Rd
lapaz - 9,jaro - 19,1800,2,False,Monfort Blvd
lapaz - 7,jaro - 2,850,1,False,Burgos St
lapaz - 6,jaro - 3,600,1,False,Jereos St
lapaz - 4,lapuz - 1,450,1,False,Divinagracia St
lapuz - 1,lapuz - 3,550,1,False,Railroad St
lapaz - 2,lapuz - 2,850,2,False,Rizal St - Huervana St
lapuz - 2,lapuz - 4,600,2,False,Rizal St - Ferry Terminal Access Rd
lapuz - 4,lapuz - 5,600,3,False,New Iloilo Ferry Terminal Access Rd
lapuz - 4,lapuz - 6,700,2,False,Rizal St - Iloilo Airport Direct Rd
lapuz - 6,lapuz - 7,1100,2,False,Lapuz Mansaya Loboc Rd
lapuz - 6,lapuz - 8,240,1,False,Iloilo Airport Direct Rd
